citi,description2,description3,description4,name,price,types,url
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Step into an enchanting world of culture, architecture, and mesmerising sights.</em></p>
<p>Upon arrival at the airport, you’ll be greeted by the agent’s representative who will escort you to your hotel in Kathmandu. Complete your check-in formalities and rest. In the evening, kick start your 4 days Nepal tour with a visit to the famous Pashupatinath Temple where you can seek blessings for a healthy and happy life and attend the evening ‘Aarti’. Later, return to your hotel for a peaceful overnight stay.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Take a gander at the charming attractions of Kathmandu.</em></p>
<p>Post a hearty breakfast, proceed for a full day sightseeing tour of the Kathmandu valley. First on your Nepal itinerary, visit the Jal Narayan Temple, a Hindu open air temple popular for its huge, reclining statue of the Sleeping Vishnu. Next, on your Kathmandu tour, you can pay a visit to the Kathmandu Durbar Square and Patan Durbar Square, two out of the three Durbar Squares in Kathmandu that are also renowned UNESCO World Heritage Sites. Then, visit the Swayambhunath Stupa, an ancient religious sanctum located atop a hill in the Kathmandu Valley.</p>
<p>Next on your Nepal itinerary is a visit to the Krishna Temple. Later, you can enjoy some leisure time and indulge in shopping or other activities as per your convenience. Post a refreshing city tour of Kathmandu, you can return to your hotel for a sumptuous dinner and a cosy overnight stay in your room.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Charge up your senses with a refreshing ride to Nagarkot.</em></p>
<p>Have a hearty breakfast at your hotel and get transferred to Nagarkot, the next destination on your Nepal holiday. On the way, visit the Palace Museum and Bhaktapur Durbar Square, the third Durbar Square in Kathmandu.</p>
<p>Upon arrival at your hotel in Nagarkot, complete the smooth check-in formalities and take some rest in your room. Late, you can go for a short hiking trip in Nagarkot. The Nagarkot Panoramic Hiking Trail is a 12 km hike near the community of Nagarkot and takes about 3 hours to complete. Accompanying you on your rejuvenating hike will be magnificent views of the snow-capped Himalayas unlike anywhere else in Nepal. Your trek will also let you visit the delightful Tamang Village.</p>
<p>Later, sit and enjoy the stunning views of sunset at Sunset Point before returning to your hotel for an overnight stay.</p></div>",Revitalising Nepal Tour Package,"₹15,199/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (3D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Embark on your journey towards serenity and peace.</em></p>
<p>After arriving at the Kathmandu airport, you will be received by our tour executive who will take you to the hotel at Pokhara: Hotel Landmark. After freshen up and lunch, visit the Barahi temple and enjoy the evening at leisure by the Phewa lake or indulging in the cultural activities at Pokhara. Overnight stay at the hotel.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Explore Pokhara- the epitome of serenity</em></p>
<p>Begin your day in the early hours of the day and wake up by 5 AM to enjoy the breathtaking sunrise from the sunrise point in Sarangkot, with the background of the magnificent Himalayas. Also witness the ranges of Machhapuchhre, Dhaulagiri, and Annapurna. Have breakfast at hotel/ a local breakfast spot and post breakfast, proceed to Devi’s fall and Gupteshwar Mahadev cave, some of the major attractions of the city. Return to hotel and stay overnight.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Having collected memories, prepare to go back home</em></p>
<p>Treat yourself to a healthy breakfast and depart for your homeland with happy memories. You could stop at a souvenir shop on the way to buy some tangible memories before heading towards the Kathmandu airport for your return journey.</p></div>",An Adventurous Yet Relaxing Pokhara Tour Package,"₹15,199/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">Sauraha<!-- --> (2D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Welcome to Nepal</em></p>
<p>Upon arrival in Kathmandu you will be met by our representative and transferred to the hotel. Kathmandu is the capital of Nepal and the Kathmandu Valley is the political and cultural heart of the Kingdom. The urban sprawl that makes up modern Kathmandu is in fact two cities, Patan and Kathmandu.</p>
<p>After short relaxation,  you will be taken for a visit of the Hindu religious site in Nepal, Pashupatinath. This is the place where holy saddhus pray and cremations on the Bagmati River are carried out. We then continue to the holiest shrine for the Buddhist culture in Nepal, Boudhanath, with its large stupa, this is the place where all devout Buddhists come for a pilgrimage. Night stay in hotel.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Explore the natural beauty of Nepal</em></p>
<p>This morning, you will be taken for a visit to Patan. Also known as Lalitpur , the city of beauty is separated from Kathmandu only by the Bagmati River and is the second largest town in the valley. Lalitpur is fragmented from other cities due to its architectural ancient masterpieces. Patan's central Durbar Square is absolutely packed with temples: Its an architectural center point with a far greater concentration of temples per sq. meter than in Kathmandu or Bhaktapur. Within the city also lies the Tibetan refugee center, home to most of the valley's Tibetan population. While technically refugees, the Tibetans are some of the wealthiest people in the valley because of the carpet industry they operate. For those looking to bring home a fine Tibetan carpet, this is the place to shop. You will then go to Swayambhunath the golden spire of the 5th-century Swayambhu stupa is adorned with a colorful fluttering of prayer flags; it crowns a hill overlooking the Kathmandu Valley and offers fantastic views over the city of Kathmandu. Swayambhunath is one of the most recognizable symbols in Nepal and the painted eyes of Buddha watch all who ascend the worn stone steps.</p>
<p>Later after checking out from hotel, drive to Pokhara. Pokhara is 210 KM &amp; 7 hours drive from Kathmandu . From Pokhara town (2,352 feet) the 25,000+ peaks of the Annapurna and Dhaulagiri ranges rise a scant 20 miles away with no intervening ridges to spoil the view.</p>
<p>Enroute you have option to enjoy cable car riding at Manokamna Temple on own cost. On arrival to Pokhara, transfer to hotel.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Experience the breathtaking views of the Himalayan ranges from Sarangkot</em></p>
<p>This morning you will go for a excursion trip to Sarangkot.The village of Sarangkot (1590 m) is situated on the top of a hillock just north of Phewa Lake. One gets to see beautiful views of sunrise and sunset from Sarangkot as the sun splashes hues of red on the Himalayan range. On a clear day, the panoramic ranges of Annapurna, Dhaulagiri, Machhapuchhre and Ganesh Himal can be observed from here.</p>
<p>This afternoon you will visit Bindebasini Temple. This is one of the oldest temples in Pokhara was a part of Kaski Kingdom, the main deity of the temple,Goddess Durga, was brought from India . Apart from the peace and tranquility that can be felt in this region, the premises of the temple offers a good view of the Himalaya on a clear day. The temple is in the area of the bazaar, hence,a journey of the old bazaar can be combined with a visit to the temple. Sightseeing to Devi’s fall, also known as Patale Chango is an awesome waterfall lying 2 km southwest of Pokhara. During summer and rainy season, the waterfall takes its real form, with gushing water splashing and making its way through the rocks. Just opposite of Devi’s fall, on the other side of the road, there is Gupteshwor Cave. This cave is popular for the different natural forms made from limestone deposits. Photography is strictly prohibited inside the cave. Overnight stay at hotel.</p></div>",Amazing Nepal Tour Package,"₹24,200/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Get ready for a fascinating cultural treat</em></p>
<p>Your tour will commence as soon as you land at Tribhuvan International Airport where our representative will meet you. You will then be escorted to your hotel where you will complete the check-in formalities. You will then have the rest of the day to yourself for relaxation and exploring the city. You may choose to take a warm shower and relax in the hotel, or venture out in the busy streets and discover treasure troves that sell souvenirs and local handicraft. In the city, you may walk through small streets and explore new cuisine, meet local people and understand their culture. Overnight stay in the hotel.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Experience spiritual upliftment, tranquillity, and peace.</em></p>
<p>On the second day of your tour, you will be blessed at some of the most revered sites of Hinduism and Buddhism. Indulge in a delicious breakfast. Now, go to Pashupatinath Temple located on the banks of Bagmati River. The beautiful location and ambiance of this temple cannot be described in words. The next pious destination will be the Boudhanath Temple that is considered to be among the most revered shrines in Buddhism. Also, go to Patan known for its architectural brilliance. You will also visit Swayambhunath Temple which is visited by hundreds of devotees every day. You will also get a chance to visit the Tibetan Refugee Center. After the eventful and blissful day, you will return to your hotel for overnight stay.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Return home with loads of beautiful memories.</em></p>
<p>Relish on a delectable breakfast meal and proceed to check-out from the hotel. Our representative will arrange for your transportation to Tribhuvan International Airport. Upon reaching the airport, you will proceed to your flight to reach your destination. As the tour ends, you will be filled with priceless memories of a unique and peaceful trip, one that you will remember for many years to come.</p></div>",Nepal Shopping Tour Package,"₹15,699/-",Upto 3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>The capital welcomes you to explore the rich heritage of Nepal</em></p>
<p>As you arrive at the airport in Kathmandu, meet our office personnels who will accommodate you to the hotel. After taking a short relaxing time, you will be taken for a visit to the Hindu culture in Nepal, Pashupatinath. This is the place where holy sadhus pray and cremations are done on the Bagmati River. The tour will continue to the holiest shrine for the Buddhist culture in Nepal, Boudhanath, with its large stupa, this is the place where all devout Buddhists come for a pilgrimage. As the day ends you will head towards the hotel for an overnight stay.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Enjoy the sight of the gigantica ranges and the beauty of the Pokhara town</em></p>
<p>Today after having a relaxing breakfast you will head towards Pokhara which is located 210 KM from Kathmandu.From Pokhara town (2,352 feet) the 25,000+ peaks of the Annapurna and Dhaulagiri ranges rise a scant 20 miles away with no intervening ridges to spoil the view. Enroute you have the option to enjoy cable car riding at Manokamna Temple at your own cost. On arrival at Pokhara, you will check-in to the hotel for an overnight stay.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>A beautiful blend of a serene village and heritage temples</em></p>
<p>This morning you will go for a excursion trip to Sarangkot after having a delicious breakfast.The village of Sarangkot (1590 m) is situated on the top of a hillock just north of Phewa Lake.This is one of the oldest temples in Pokhara which was a part of Kaski Kingdom, the main deity of the temple,Goddess Durga, was brought from India. Sightseeing to Devi’s fall, also known as Patale Chango is an awesome waterfall lying 2 km southwest of Pokhara. During summer and rainy season, the waterfall takes its real form, with gushing water splashing and making its way through the rocks. Just opposite of Devi’s fall, on the other side of the road, there is Gupteshwor Cave. This cave is popular for the different natural forms made from limestone deposits. Photography is strictly prohibited inside the cave.After an eventful day exploring the natural treasures of Sarangkot, enjoy a comfortable overnight stay at the hotel.</p></div>",Explore The Best Of Nepal Tour,"₹19,199/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">kathmandu<!-- --> (5D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Land at Religious place of Kathmandu and Transfer to Nagarkot</em></p>
<p>Welcome to the Asia’s first ranked tourist place, Kathmandu. Arrive at Kathmandu airport and our representative will receive you for transferring to the Nagarkot. After posting your check-in hotel for night stay at Nagarkot, you can simply relax overnight after having some delicious food to satisfy your tongue. Have rest overnight and get ready to enjoy the next day tour at Nepal. This day is totally at leisure and the main tour actually start from Pokhara.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Post your arrival at Pokhara</em></p>
<p>Start your second day with delicious breakfast and energize yourself for next travel. Get ready for your next move towards Pokhara, another city of Nepal. It is new destination of this tour where you will get wide variety of temples to visit and satisfy your spiritual feelings. After arriving at hotel of Pokhara, have a tasty dinner. Have your relaxing night stay at Pokhara and prepare yourself for the next day tour. Create a map in your mind regarding places to visit in Pokhara next day and plan your activities accordingly.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Explore the Popular Temples of Nepal which Make it Spiritual Center Point</em></p>
<p>Begin your day with a tasty breakfast and fresh up for having spiritual trip of temples this day. You might be excited to know the list of your destinations for your spiritual tour. At first, you have to visit Vindhyavasini temple. Then go to have beautiful view of Seti River. Your next visit is Gupteshwar Mahadev Cave. Don’t miss the popular Barahi temple at Nepal. Enjoy the beautiful sights of Fewa Lake. Have relaxing night stay at Pokhara.</p></div>",Nepal 8 Days Trip Package,"₹30,699/-",Upto 3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Begin your honeymoon with an aarti</em></p>
<p>Upon arrival at the Nepal airport, a tour agent’s representative will meet you and arrange a private transfer to your hotel of stay. After completing the check-in formalities, you may take a power nap in your room to get over jetlag and freshen yourself for the evening. The evening of the first day of your <strong>Nepal honeymoon package</strong> includes a visit to the famous Pashupatinath Temple where you can attend soul-fulfilling aarti. If you are tired for the day you will be transferred back to the hotel for night stay.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Indulge in a lively excursion on the second day of your honeymoon</em></p>
<p>After indulging in a hearty meal at the hotel, get ready for a full-fledged sightseeing tour in Kathmandu. The places that you would be as part of this <strong>Nepal honeymoon package</strong> include Jal Narayan, Swayambhunath, which is an ancient religious architecture consisting of varieties of stupa, shrines, temples, museum and a library, Boudhanath Stupa, which is one of the largest Buddhist Stupas in the world. Later on, you would also be visiting Durbar Square, which is surrounded by spectacular architecture including temples, Nepalese royal residence, and museum. The evening of this day is kept for you to spend according to your plans. You can indulge in shopping or try out the local cuisine there. This fun-filled day comes to an end with an overnight stay in the hotel.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>On the third day of your tour enjoy the scenic spot of Bhaktapur</em></p>
<p>After indulging in a scrumptious meal at the hotel, get ready as today you would be exploring the Bhaktapur district. The places that you would be visiting on the 3rd day of your <strong>Nepal honeymoon package</strong> includes Palace Museum and Bhaktapur Durbar Square. Later on, you would be visiting Nagarkot, which offers spectacular views of Kathmandu Valley. Here you can indulge in short hiking and also enjoy the exquisite sunset with your better half.</p>
<p>This beautiful day ends with an overnight stay in the hotel.</p></div>",Stupendous Nepal Honeymoon Package,"₹16,200/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (4D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Step into an enchanting hub of culture, architecture, and mesmerizing vistas with your beloved.</em></p>
<p>Upon arrival in Kathmandu Airport, you will be greeted by your tour agent’s representative prior to an assisted transfer to your hotel. Once at the hotel, you can complete the smooth check-in formalities and rest in your room.</p>
<p>Post a delicious lunch, proceed to the Boudhanath Stupa, the first attraction on your 4 days Kathmandu honeymoon and one of the largest spherical stupas in Nepal known for its massive mandala. In the evening, be part of the evening ‘Aarti’ at the famous Pashupatinath Temple and seek blessings for a healthy and happy married life. Post your transfer back to the hotel, indulge in a hearty dinner and rest in your room.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Seek blessings for a long and happy married life at the many holy shrines in Kathmandu.</em></p>
<p>Post a lavish breakfast, visit the Jal Narayan Temple, a Hindu open-air temple famed for its reclining statue of the Sleeping Vishnu. Next, on your romantic Kathmandu tour, you can visit the Kathmandu Durbar Square and Patan Durbar Square, two of the three Durbar Squares in Kathmandu which are also renowned UNESCO World Heritage Sites. Later, visit the Swayambhunath Stupa, ancient religious sanctum atop a hill in the Kathmandu Valley.</p>
<p>Next on your Kathmandu honeymoon itinerary is a visit to the Krishna Temple. Post a refreshing city tour of Kathmandu with your amour, you can return to your hotel for a delicious dinner and a cozy overnight stay in your room.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Whisk your maiden off her feet with some hearty shopping for gems and jewelry!</em></p>
<p>After a sumptuous breakfast, you can proceed to the popular Kailashnath Mahadev Statue. It is the world's tallest Shiva statue and is located in the charming district of Sanga on the border of the Bhaktapur. After paying your respects at this holy sanctum and immersing in its splendid glory, you can head to the Bhaktapur Durbar Square, the third Durbar Square in Kathmandu.</p>
<p>You can enjoy the rest of the evening as you want to. Indulge in some hearty shopping or explore the vibrant nightlife of Kathmandu. The streets and markets of Kathmandu are known for some amazing handicrafts and local merchandise that you and your beloved can take home to mark your first romantic vacation!</p>
<p>After spending time together on the picture-perfect streets of Kathmandu, return to the hotel for your overnight stay.</p></div>",Idyllic Kathmandu Honeymoon Package,"₹12,700/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">kathmandu<!-- --> (1D)</li><li class=""f12"">Bhairahawa<!-- --> (2D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>An exciting journey is about to begin</em></p>
<p>On the first day of your Nepal trip, you will be picked up from the Gorakhpur Airport and transferred to Pokhara. On arrival at Pokhara, check into the hotel and relax for the remainder of the day.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Explore the hidden marvels of Pokhara</em></p>
<p>After a hearty breakfast today, get ready to embark on a day of local sightseeing. Cover places such as Vindhyawasini Temple, Seti River, Devi’s Fall, Gupteshwar Mahadev Cave, Barahi Temple and Fewa Lake. after tour completion, return to the hotel for the night.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Nagarkot and its stunning sights await your arrival</em></p>
<p>Today, after breakfast, check out of your hotel in Pokhara and transfer to Nagarkot. On the way, make a stop at the Manakamana Temple. The ride here has to be carried out by cable car, at the traveler’s cost. On arrival at Nagarkot, check in at the hotel and relax for the night.</p></div>",Discounted Nepal Tour Package,"₹21,500/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (4D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">Sauraha<!-- --> (2D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Welcome</em></p>
<p>On reaching Kathmandu you will be picked up from the airport and dropped at the hotel. Check in and spend the rest of the day at leisure. Overnight stay at the hotel.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Relish the natural beauty of Nepal</em></p>
<p>After breakfast begins your day with an amazing tour of the Pashupatinath Temple an epitome of the Hindu culture in Nepal. Then visit the Boudhanath Temple. Drive to Patan also known as Lalitpur and here visit the Durbar Square, the Tibetan Center, Swayambhunath with its colorful array of prayer flags and an amazing view of Kathmandu city.</p>
<p>Return to the hotel for the night.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Experience the breathtaking views</em></p>
<p>After breakfast check out of the hotel and travel to Pokhara by road. Enroute you can opt for a cable car ride at Manokamna Temple.</p>
<p>On reaching Pokhara check in to the hotel and spend the evening at leisure. You can opt for boating in the Fewa Lake. Return to the hotel for the night.</p></div>",Nepal Family Tour,"₹28,200/-",3 Stars,/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Enjoy a Leisure day in Kathmandu</em></p>
<p>The Nepal itinerary 5 days will start to roll as you get down at the Tribhuvan International Airport in Kathmandu. One of our representatives would greet you at the airport. After a detailed look-around in the city, you will be taken to the hotel where you can check-in. you can either check-in to the Apsara Boutique Hotel Inn or Shangrila Hotel. You can either take rest or take a massage. In the evening, you can get a decent time to indulge in the shopping. You can have dinner in the Nepalese restaurants and reach back to the hotel. You can easily do the shopping of handicrafts from the markets in Kathmandu. The Thamel area is enriched with bars, cafes and restaurants.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Indulge into the Natural Beauty of Pokhara</em></p>
<p>Pokhara is one of the most beautiful cities of Nepal. You can get a close encounter with the enchanting natural beauty of a Himalayan hill station. On the 2nd day, you will be taken to a drive to Pokhara. After reaching the city, you will check into the hotel. In Pokhara, you are expected to check in at Kumari Star Inn. It takes near about six hours to reach Pokhara from Kathmandu. You can visit the Phewa Lake and have a boating session there. It is a natural freshwater lake. You can visit the Varahi temple located at the center of the lake. You can get the exotic views of the Annapurna range. There are a lot of floating markets in the city. At night you can go out and chill or dine in the bars and cafes of Pokhra. Come back early and have a sound sleep.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Treasures of Nepal</em></p>
<p>The third day of the Nepal 5 days Itinerary will start early. You will have an early morning ride to Sarangkot. This spot is 1600 meters above sea level. You can get a panoramic view of the Annapurna range from here. Get a chance to watch the magnificent sunshine at Sarangkot. While driving back to Pokhara you will visit the David Falls and the Mahendra caves. You can stay at the two spots for a decent amount to time and then come back to Pokhara. Sarangkot is just 120 kilometers away from Pokhara. You just need to get up very early to see the sunshine. The David Falls is g known as Patala Chhango. The Mahendra Caves is knowns as the ‘House of Bats’.</p></div>",5 Days Tour Package To Nepal With Airfare,"₹32,700/-",3 Stars,/packages/nepal-3-days-trip?id=18261&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li><li class=""f12"">POKHARA<!-- --> (3D)</li><li class=""f12"">Sauraha<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Welcome to Capital of Nepal</em></p>
<p>Introduce yourself to our office representative with hospitality full welcome on arrival to the airport in Kathmandu. Grab your gear and shift to the hotel. Kathmandu is the older and current heart of Nepal and the surrounding Valley is political and cultural heaven of the Empire. The urban territory of 21st century Kathmandu is made up of two old cities, Lalitpur and Kathmandu.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Scout the amazing land of Temples</em></p>
<p>Take a short visit to the Hindu cultural side of Kathmandu with a trip starting from World Heritage site “The Pashupatinath”. The prayer grounds of saintly saddhus a right beside the cremation ghats of the Bagmati River. Get mesmerized by the large lavish temples. Continue your journey to another holy Buddhist world heritage site Boudhanath revered by Buddhists all around the world. After your visit to the holy temples of Kathmandu and travel to another city full of Buddhist and Hindu sites, Lalitpur or Patan. Furthermore, walk scientifically designed ways between houses of Patan to some great Buddhist and Hindu temples in its durbar squares before heading to temple lush with monkeys and idols in Swayambhu based in Kathmandu. Return to the hotel for some rest needed for the long journey tomorrow.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Welcome to shadows of Mountains in Pokhara</em></p>
<p>Go on a crusade to Pokhara on a four-wheel vehicle on 210 KM long roadway 7 from Kathmandu. Get awestruck with the beauty of Pokhara town floating among spongy white clouds and foggy wind at an elevation of 2,352 feet. The 25,000+ peaks rising above the clouds Annapurna and Dhaulagiri ranges with no intervening ridges to obstruct its view will keep you gazing. On your route, you can opt to ride cable car at Manakamana Temple on own cost. After you arrive in Pokhara, check in the hotel.</p></div>",10 Days Tour Package To Nepal With Airfare,"₹53,200/-",3 Stars,/packages/nepal-3-days-trip?id=18261&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">Sauraha<!-- --> (1D)</li><li class=""f12"">Janakpur<!-- --> (2D)</li><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">Jomsom<!-- --> (1D)</li><li class=""f12"">Bhairahawa<!-- --> (2D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>Welcome to Nepal and proceed to Chitwan</em></p>
<p>As per the <strong>Nepal family tour</strong> package for 10 days, you will be picked up by the driver from the airport and proceed to Chitwan. On arrival at Chitwan, transfer to the hotel for night stay. Overnight stay at the hotel in Chitwan.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Encounter the greenery at Chitwan</em></p>
<p>After breakfast get ready to experience Chitwan sightseeing. Today visit major attractions in Chitwan such as Elephant Breeding Centre, Elephant Bath, Elephant/Jeep Safari, Jungle/Village walk, Bird watching, and Canoe Ride. Later, proceed to Janakpur. After reaching Janakpur you’ll be transferred to the hotel for an overnight stay.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Enjoy the beauty of Janakpur</em></p>
<p>The third day enjoy local sightseeing at Janakpur. Next, proceed to Kathmandu. On arrival, transfer to hotel for night.</p></div>",An Enjoyable Nepal Family Trip,"₹53,200/-",3 Stars,/packages/nepal-3-days-trip?id=18261&travelmonth=8
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (1D)</li><li class=""f12"">NAGARKOT<!-- --> (1D)</li></ul>","<div class=""p-last-no-margin at_iti_description""><p><em>A warm welcome to the best of the Mother Nature in Nepal</em></p>
<p>Upon your arrival at the airport in Kathmandu, the agent’s representative will receive you and help you with your transfers to the hotel. Enjoy the scenic journey and as you reach the hotel in Kathmandu, check in and relax for a while. You will get comfy at our partnered hotel in Kathmandu.</p>
<p>You have the day at leisure. So, you can either stay indoors and relax, or go out and explore the locality of this quaint, little capital city. The colorful shops stuffed with Asian artifacts make for best souvenirs in Nepal. Treat yourself to a romantic meal with your partner at some classic Nepali restaurant (own expense). As the first day of this <strong>Nepal honeymoon package</strong> day ends, get back to the hotel for a comfy overnight stay.</p>
<p><strong>Optional:</strong> Indulge in Shiatsu massage (own expenses)</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>Enjoy sightseeing tour in capital city</em></p>
<p>Have a wholesome breakfast, and then set out for a full day sightseeing tour in capital city which includes visits to famous attractions like ancient temples, palaces, courtyards, and more. Visit Durbar Square and soak in the mesmerizing natural beauty that surrounds you.</p>
<p>Go on clicking some great pictures of the magnificent stone sculptures of the Kathmandu's Historical Haven. As the tour continues, you will explore the beautiful landscapes of Kathmandu in Patan - the second-largest town in the valley.</p>
<p>This <strong>Nepal honeymoon tour itinerary</strong> also gives you the chance to Indulge in rafting adventure on the Bagmati River, or have some mountain biking fun. Later in the afternoon, you will visit the much revered and famous Pashupatinath Temple known for its grandeur admire the old stone shrines around the temple; followed by a visit to an ancient Buddhist Temple.</p>
<p>As the day comes to an end, return to the hotel for a comfortable overnight stay.</p></div>","<div class=""p-last-no-margin at_iti_description""><p><em>A marvelous town beckons you today</em></p>
<p>After breakfast, checkout and transfer to the next destination as per this <strong>Nepal honeymoon tour itinerary </strong>- Nagarkot. This small hill station is known for breathtaking natural views that will leave you spellbound.</p>
<p>A brief halt at Bhaktapur Durbar Square allows you to visit the conglomeration of Pagoda and Shikara-style temples situated around a huge and historical palace. Upon arrival at the hotel, check in and relax.</p>
<p>Later in the day, you’ll enjoy a beautiful sunset. Don’t forget to take pictures of the snow-clad Himalayan peaks like Ganesh, Manaslu, Langtang, and more. As the day ends, get back to your hotel overnight stay hotel in Nagarkot.</p>
<p><strong>Distance from Kathmandu to Nagarkot:</strong> 27 km (approx)</p>
<p><strong>Travel time:</strong> 1.5 hours (approx)</p></div>",Awe-inspiring Nepal Summer Special Honeymoon Package,"₹16,200/-",3 Stars,/packages/nepal-3-days-trip?id=18261&travelmonth=8
